endTime,artistName,trackName,msPlayed,weekday,hour
2019-01-08 18:29:00,Razorlight,Golden Touch - Full Length,17193,Tuesday,18
2019-01-08 18:32:00,The Kooks,Junk Of The Heart (Happy),11900,Tuesday,18
2019-01-08 18:32:00,Arctic Monkeys,Balaclava,171226,Tuesday,18
2019-01-08 18:36:00,Arctic Monkeys,Anyways,221229,Tuesday,18
2019-01-08 18:39:00,Arctic Monkeys,Don't Sit Down 'Cause I've Moved Your Chair,183506,Tuesday,18
2019-01-08 18:43:00,Kasabian,Fire,252279,Tuesday,18
2019-01-08 18:43:00,Vampire Weekend,Step,11973,Tuesday,18
2019-01-08 18:47:00,Kings of Leon,Closer,237480,Tuesday,18
2019-01-08 18:50:00,Arctic Monkeys,Snap Out Of It,193030,Tuesday,18
2019-01-08 18:53:00,The Strokes,You Only Live Once,189226,Tuesday,18
2019-01-08 18:58:00,Oasis,Supersonic - Remastered,283786,Tuesday,18
2019-01-08 19:02:00,Arctic Monkeys,From The Ritz To The Rubble,193426,Tuesday,19
2019-01-08 19:05:00,Kings of Leon,Manhattan,204226,Tuesday,19
2019-01-08 19:08:00,The Libertines,Can't Stand Me Now,203733,Tuesday,19
2019-01-08 19:12:00,Catfish and the Bottlemen,Pacifier,237533,Tuesday,19
2019-01-08 19:16:00,Arctic Monkeys,R U Mine?,201726,Tuesday,19
2019-01-08 19:16:00,Blur,Ghost Ship,16396,Tuesday,19
2019-01-08 19:21:00,Interpol,Rest My Chemistry,300506,Tuesday,19
2019-01-08 19:21:00,The Smiths,Ask - 2011 Remaster,17843,Tuesday,19
2019-01-08 19:25:00,Arctic Monkeys,Do Me a Favour,209253,Tuesday,19
2019-01-08 21:12:00,The Strokes,Threat of Joy,21016,Tuesday,21
2019-01-08 21:16:00,Queen,Love Of My Life - Remastered 2011,217386,Tuesday,21
2019-01-08 21:19:00,Queen,Good Company - Remastered 2011,203440,Tuesday,21
2019-01-08 21:25:00,Queen,Bohemian Rhapsody - 2011 Mix,354320,Tuesday,21
2019-01-08 21:26:00,Queen,God Save The Queen - Remastered 2011,75333,Tuesday,21
2019-01-08 21:30:00,Queen,Keep Yourself Alive - Long Lost Retake / June 1975 / Remastered 2011,244386,Tuesday,21
2019-01-08 21:32:00,Queen,Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix,63440,Tuesday,21
2019-01-08 21:34:00,Queen,You’re My Best Friend - Backing Track Mix,177880,Tuesday,21
2019-01-08 22:23:00,Queen,I’m In Love With My Car - Guitar & Vocal Mix / 2011,37263,Tuesday,22
2019-01-08 22:27:00,The Neighbourhood,Prey,282640,Tuesday,22
2019-01-08 22:31:00,The Neighbourhood,Cry Baby,235160,Tuesday,22
2019-01-08 22:37:00,The Neighbourhood,Wiped Out!,373373,Tuesday,22
2019-01-08 22:42:00,The Neighbourhood,The Beach,255133,Tuesday,22
2019-01-08 22:46:00,The Neighbourhood,Daddy Issues,260173,Tuesday,22
2019-01-09 00:32:00,The Neighbourhood,Baby Came Home 2 / Valentines,368890,Wednesday,0
2019-01-09 08:19:00,Arctic Monkeys,The Afternoon's Hat,18650,Wednesday,8
2019-01-09 08:20:00,Arctic Monkeys,7,56458,Wednesday,8
2019-01-09 08:24:00,Arctic Monkeys,Leave Before The Lights Come On,225895,Wednesday,8
2019-01-09 08:26:00,Arctic Monkeys,Da Frame 2R,111762,Wednesday,8
2019-01-09 08:29:00,Arctic Monkeys,Do Me a Favour,204167,Wednesday,8
